,Category,Sub-category
0,Video,Facebook Video
1,Video,Social Feed Video Ad
2,Video,Pinterest Video Pin
3,Video,In-Stream Video Ad
4,Video,Youtube Intro
5,Video,Video Collage
6,Video,Slideshow Video
0,Social Media,Animated Social Media
1,Social Media,Facebook Video
2,Social Media,Instagram Post
3,Social Media,Instagram Story
4,Social Media,Facebook Post
5,Social Media,Facebook Story
6,Social Media,Facebook Cover
7,Social Media,Facebook App Ad
8,Social Media,Social Media
9,Social Media,Your Story
10,Social Media,Whatsapp Story
0,Documents,Presentation
1,Documents,A4 Document
2,Documents,Letter
3,Documents,Letterhead
4,Documents,Resume
5,Documents,Presentation (4:3)
6,Documents,Report
7,Documents,Daily Report
8,Documents,Memo
9,Documents,Invoice
0,Personal,Card
1,Personal,Birthday Card
2,Personal,Photo Collage
3,Personal,Photo Book
4,Personal,Calendar
5,Personal,Planner
6,Personal,Storyboard
7,Personal,Graphic Organiser
8,Personal,Scrapbook
9,Personal,Desktop Wallpaper
10,Personal,Postcard
0,Education,Yearbook
1,Education,Class Schedule
2,Education,Worksheet
3,Education,Lesson Plan
4,Education,Report Card
5,Education,Bookmark
6,Education,Seating Chart
7,Education,Table of Contents
8,Education,Mind Map
0,Marketing,Logo
1,Marketing,Poster
2,Marketing,Flyer
3,Marketing,Business Card
4,Marketing,Infographic
5,Marketing,Brochure
6,Marketing,Product Label
7,Marketing,Gift Certificate
8,Marketing,Gift Tag
9,Marketing,Ticket
10,Marketing,Newsletter
0,Events,Invitation
1,Events,Birthday Invitation
2,Events,Wedding Invitation (Portrait)
3,Events,Announcement
4,Events,Programme
5,Events,Event Programme
6,Events,Facebook Event Cover
0,Ads,Facebook Ad
1,Ads,Instagram Ad
2,Ads,Large Rectangle Ad
3,Ads,Leaderboard Ad
4,Ads,Wide Skyscraper Ad
5,Ads,Medium Rectangle Ad
