,Sub-category,Search Vol,Recommended templates,Number of templates,Templates to create
0,Birthday Card,15218.0,1472.0,679.0,793.0
1,Birthday Invitation,13853.0,1340.0,957.0,383.0
2,Bookmark,11379.0,1100.0,223.0,877.0
3,Brochure,13738.0,1329.0,891.0,438.0
4,Calendar,10338.0,1000.0,184.0,816.0
5,Daily Report,1187.0,115.0,98.0,17.0
6,Gift Tag,2846.0,275.0,90.0,185.0
7,Infographic,13319.0,1288.0,100.0,1188.0
8,Invoice,16745.0,1619.0,167.0,1452.0
9,Letter,15725.0,1521.0,886.0,635.0
10,Letterhead,13604.0,1316.0,886.0,430.0
11,Logo,16770.0,1622.0,1383.0,239.0
12,Memo,11589.0,1121.0,426.0,695.0
13,Mind Map,10225.0,989.0,30.0,959.0
14,Newsletter,13225.0,1279.0,713.0,566.0
15,Photo Book,893.0,86.0,22.0,64.0
16,Planner,12654.0,1224.0,487.0,737.0
17,Postcard,13509.0,1306.0,1294.0,12.0
18,Presentation,16220.0,1569.0,1000.0,569.0
19,Product Label,599.0,58.0,43.0,15.0
20,Report,18159.0,1756.0,1273.0,483.0
21,Scrapbook,835.0,81.0,29.0,52.0
22,Storyboard,12569.0,1216.0,26.0,1190.0
23,Ticket,8166.0,790.0,322.0,468.0
